Company Name,Claims Paid Ratio (Higher is Better),,Claim Repudiation Ratio (Lower is Better),Claims Paid Efficiency Ratio (within 3 months),Claims Outstanding Ratio,Incurred Claim Ratio (ICR Health),Total Claims Processed,Complaints Settlement Ratio,,Solvency Ratio,,,,,,Tier
,Ratio,Rank,,,,,,Ratio,Rank,Mar-23,Jun-23,Sep-23,Dec-23,Mar-24,Rank,
ICICI Lombard,82.59%,9,12.48%,82.55%,4.93%,82.24%,939388,100%,1,2.51,2.53,2.59,2.57,2.62,1,1
Niva Bupa,88.57%,4,9.14%,67.76%,2.29%,61.22%,451369,97.11%,5,1.67,1.74,1.62,2.56,2.55,1,4
Care Health,88.06%,6,9.38%,68.68%,9.38%,64.53%,798382,93.90%,10,1.82,1.8,1.73,1.73,1.74,3,4
Manipal Cigna,88.48%,5,9.53%,55.98%,1.99%,74.81%,413835,94.50%,8,1.56,1.62,1.57,1.56,1.66,3,1
HDFC Ergo,86.90%,8,9.95%,86.47%,3.15%,84.85%,906914,92.98%,11,1.81,1.853 ,1.915 ,1.81 ,1.68,3,1
Chola MS,69.53%,13,15.28%,69.51%,15.18%,87.34%,131546,100%,1,2.01,1.96,1.89,1.79,1.79,2,3
Star Health,75.10%,12,18.46%,54.50%,6.44%,70.30%,1955549,98.80%,3,2.14,2.18,2.13,2.23,2.21,1,4
Tata General Insurance,75.56%,11,19.09%,71.10%,5.35%,76.24%,246126,91.90%,12,1.94,1.96,2.16,2.13,2.09,1,1
Reliance Health Insurance,58.06%,14,9.24%,57.03%,32.70%,87.34%,478120,94.20%,9,1.57,1.57,1.68,1.59,1.62,3,2
Magma Hdi,79.30%,10,10.67%,79.30%,10.03%,85.54%,25544,94.85%,7,2.1,2.32,2.02,2.1,2.05,1,3
Bajaj Allianz,90.29%,2,5.92%,86.10%,3.79%,87.31%,956559,98.80%,3,3.91,3.88,3.52,3.55,3.49,1,1
Liberty General Insurance,86.93%,7,8.92%,85.38%,4.15%,92.99%,69493,96.20%,6,2.05,1.97,1.79,1.73,1.76,2,3
SBI General Insurance,88.86%,3,8.85%,87.86%,2.29%,82.19%,598707,97.80%,4,1.72,2.03,1.98,1.97,2.25,1,3
Aditya Birla,94.52%,1,3.96%,58.09%,1.52%,71.50%,860863,99.98%,2,2.63,2.39,2.13,1.73,1.67,3,2
Others,82.34%,8,13.02%,65.24%,11.45%,72.15%,514150,96.50%,7,,,,,0.95,4,3
